,Location,y,x,N,P,K,pH,temp,climate
287,Savner,14.7246937,75.9731622,66,74,138,7.62,8,2
288,Sawali,14.5686512,75.9644006,85,13,149,6.7,19,2
289,Sawantwadi,14.5665393,75.9847083,91,15,194,6.73,35,2
290,Seloo,14.7854706,75.8586898,73,12,160,7.85,7,2
291,Selu,14.7729936,75.867758,74,10,165,8.07,19,2
292,Sengaon,14.6616519,75.8068871,110,31,190,7.1,18,2
293,Shahade,14.6616884,75.8079858,120,21,190,6.88,25,2
294,Shahapur,14.7295949,75.8518196,74,10,114,7.67,22,2
295,Shahuwadi,14.73071,75.8515615,69,10,194,7.66,18,2
296,Shegaon,14.7307456,75.8504587,103,15,113,7.39,15,2
297,Shevgaon,14.7313264,75.8535089,66,7,149,7.19,20,2
298,Shirala,14.8206727,76.0877865,98,19,194,7.6,4,2
299,Shirol,14.5416159,76.486562,95,23,110,7.41,28,2
300,Shirpur,14.5404697,76.4911261,88,11,318,7.72,3,2
301,Shirur,14.5377798,76.4951587,75,15,169,7.54,10,2
302,Shirur Anantpal,14.5437611,76.4967465,98,10,181,7.64,29,2
303,Shirur (Kasar),14.5468997,76.4915133,54,7,103,7.62,37,2
304,Shrigonda,14.5522063,76.4884448,113,15,176,7.04,0,2
305,Shrirampur,14.406,75.7239347,120,21,179,6.51,7,2
306,Shrivardhan,14.4066473,75.7272763,108,9,110,6.02,6,2
307,Sillod,14.4062652,75.7254025,73,17,169,7.32,19,2
308,Sindewahi,14.4063718,75.7249169,113,27,169,6.71,17,2
309,Sindkhede,14.4059683,75.7263941,113,23,179,7.31,16,2
310,Sindkhed Raja,14.4061882,75.7253319,91,7,199,5.98,19,2
311,Sinnar,14.4058857,75.7266247,103,15,196,7.26,22,2
312,Sironcha,14.4047848,75.725298,59,9,194,8.62,32,2
313,Soegaon,14.4055691,75.7242154,63,8,184,8.79,0,2
314,Solapur North,14.4066211,75.7250253,99,8,166,5.92,28,2
315,Solapur South,14.4069586,75.7256161,86,10,140,5.61,9,2
316,Sonpeth,14.4061933,75.7248512,125,21,176,6.42,13,2
317,Sudhagad,14.4064225,75.7265394,115,20,113,7.29,32,2
318,Surgana,14.4065864,75.7254519,91,12,154,7.7,25,2
319,Tala,14.4063435,75.7242608,104,21,175,6.92,16,2
320,Talasari,14.4067249,75.7259012,118,22,181,7.48,33,2
321,Talode,14.4074152,75.7251551,55,11,169,6.99,25,2
322,Tasgaon,14.4071486,75.7255876,69,22,160,6.99,16,2
323,Telhara,14.4056932,75.7249292,91,9,175,5.25,37,2
324,Thane,14.405431,75.727523,121,23,169,6.45,30,2
325,Tiosa,14.4057791,75.7266072,110,17,103,6.91,29,2
326,Tirora,14.3994133,75.8068013,104,25,169,6.92,0,2
327,Trimbakeshwar,14.3980363,75.8069032,60,9,103,8.31,39,2
328,Tuljapur,14.3986319,75.8075415,55,10,155,8.04,22,2
329,Tumsar,14.4320603,75.6874071,109,11,164,6.9,14,2
330,Udgir,14.429233,75.695662,84,6,146,5.51,10,2
331,Ulhasnagar,14.5507722,75.8559349,94,10,94,8.19,37,2
332,Umarkhed,14.5502426,75.8609775,108,13,169,8.02,31,2
333,Umred,14.5494429,75.8603016,99,12,149,8.12,3,2
334,Umri,14.5485466,75.8614035,93,17,149,7.94,34,2
335,Uran,14.6263319,75.8150196,98,10,199,7.44,15,2
336,Vaibhavvadi,14.3684747,75.7763904,75,9,180,7.86,39,2
337,Vaijapur,14.4264122,75.7001155,109,11,159,6.14,31,2
338,Vasai,14.422037,75.7052043,117,10,171,6.49,9,2
339,Vasmath,14.4240751,75.7067516,103,7,180,6.25,15,2
340,Velhe,14.4292086,75.7111221,55,11,160,7.6,27,2
341,Vengurla,14.4313314,75.7100676,79,11,144,7.49,36,2
342,Vikramgad,14.589398,75.862071,66,14,145,7.78,4,2
343,Wada,14.4744565,75.7841751,88,25,150,7.63,15,2
344,Wadwani,14.4753037,75.790151,97,21,185,7.54,31,2
345,Wai,14.4767224,75.7928204,98,15,195,7.69,17,2
346,Walwa,14.4377214,75.8021333,59,9,188,8.49,39,2
347,Wani,14.4391137,75.8129694,79,7,194,5.18,17,2
348,Wardha,14.4475442,75.8718683,74,10,180,7.29,22,2
349,Warora,14.3820946,75.6996149,69,7,189,7.71,36,2
350,Warud,14.4094271,75.6809548,85,17,184,7.11,7,2
351,Washi,14.4059772,75.6899456,118,25,159,7.34,11,2
352,Washim,14.4468883,75.7020503,103,22,179,7.13,7,2
353,Yavatmal,14.4476052,75.7039815,74,10,181,6.76,11,2
354,Yawal,14.4471787,75.7036622,78,14,194,7.93,24,2
355,Yevla,14.4455722,75.7025666,59,10,166,7.78,31,2
356,Zari-Jamani,14.4450168,75.7045401,103,19,180,7.46,26,2
357,Yamage,14.5685117,75.8687229,103,13,125,7.62,17,2
358,Adur,14.5685564,75.8722128,69,15,163,7.92,36,2
359,Amashi,14.4363291,75.8043434,95,19,131,7.47,23,2
360,Ambewadi,14.4358833,75.8141067,96,15,179,7.77,21,2
361,Ardewadi,14.4420942,75.8181436,76,10,149,7.84,39,2
362,Are,14.4463539,75.8242155,69,8,199,8.08,7,2
363,Bachani,14.3878468,75.7327509,91,45,164,7.55,23,2
364,Bahireshwar.,14.3863581,75.7357872,113,10,166,6.35,38,2
365,Balinge,14.3871552,75.7371155,95,15,33,7.43,7,2
366,Bele,14.5709831,76.3041525,111,14,65,6.66,38,2
367,Bhamate,14.4365785,75.8011892,98,19,92,7.96,0,2
368,Bhatanwadi,14.4367551,75.8066072,103,21,103,7.82,36,2
369,Bhuye,14.434773,75.8102716,103,9,190,5.94,37,2
370,Bhuyewadi,14.4365388,75.8117055,83,13,157,7.93,0,2
371,Bololi,14.4411369,75.817027,103,15,174,7.25,33,2
372,Chafodi,14.4490238,75.831632,99,17,185,7.39,29,2
373,Chikhali,14.375781,75.7491016,94,9,180,6.46,16,2
374,CHINCHAWAD,14.4567821,75.8068194,54,13,170,7.93,32,2
375,Chinchawade Tarf Kale,14.4541406,75.8131362,54,8,154,8.37,0,2
376,Chuye,14.4537052,75.8115058,105,17,188,7.77,35,2
377,Daryache Wadgaon,14.4856796,75.7328072,79,15,154,7.68,30,2
378,Dewale,14.5685896,75.8695383,110,64,198,47.49,35,2
379,Dhangarwadi,14.356368,75.7408313,69,8,191,5.12,24,2
380,Dhondewadi,14.3557288,75.7403903,69,10,108,7.79,7,2
381,DINDANERLI,14.6016658,75.8473492,103,28,159,7.56,6,2
382,Donawade,14.6010388,75.8547594,51,11,80,7.94,24,2
383,Donwadi,14.4078373,75.6806437,115,18,103,6.95,27,2
384,Durgulwadi,14.4076035,75.6882578,63,10,180,8.07,6,2
385,Gadegoundwadi,14.4087494,75.6928172,113,17,174,7.04,38,2
386,Ganeshwadi,14.403654,75.6925523,111,13,175,7.63,7,2
387,Garjan,14.4023828,75.691164,79,10,183,7.85,6,2
388,Ghanawade,14.4012124,75.6907594,121,18,176,7.36,16,2
389,Ghungurwadi,14.4127263,75.6937998,54,9,184,8.27,35,2
390,Girgaon,14.4319828,75.6832595,54,7,179,4.95,2,2
391,Gokul Shirgaon,13.9893657,75.6401906,99,15,190,7.38,21,2
392,Haladi,14.4181567,75.6512734,99,12,175,7.46,37,2
393,HALASAWADE,14.3173538,75.7077461,54,7,166,7.35,26,2
394,Hanbarwadi,14.3151326,75.7190646,104,21,166,7.47,39,2
395,Hanmantwadi,14.3089958,75.716668,76,13,174,7.75,23,2
396,Hasur Dumala,14.4250418,75.8184669,127,23,168,7.48,25,2
397,Hirawade Dumala,14.2142481,75.7186582,69,19,154,5.06,34,2
398,Hirawade Khalasa,14.2138217,75.7174029,79,13,194,6.67,38,2
399,Ispurli,13.132467,77.4741302,84,23,194,7.78,0,2
400,Jadhavwadi,13.3930507,77.5804764,69,9,103,5.76,38,3
401,Jaital,13.3936456,77.5818548,103,24,139,7.38,38,3
402,Jatharwadi,13.3957831,77.5824566,98,64,178,6.63,31,3
403,Kalambe Tarf Kale,13.397058,77.5825097,79,7,195,6.9,19,3
404,Kalambe T Thane,13.394678,77.5807678,74,40,169,7.47,38,3
405,Kanchanwadi,14.2955958,75.7990658,74,10,195,7.82,4,3
406,Kandalgaon,13.2839354,76.6558439,54,13,141,7.62,7,3
407,Kandgaon,14.5581063,76.1471405,74,9,110,8.4,29,3
408,Kaneri,14.5586559,76.1494477,95,8,154,7.3,11,3
409,Kaneriwadi,14.5579582,76.1504613,84,9,185,7.34,0,3
410,Karbharwadi,14.5605193,76.1513213,85,9,194,7.51,2,3
411,Kasaba Arale,14.4568889,76.1360854,103,19,174,6.46,30,3
412,Kasaba Bavada,14.4568562,76.1387843,111,23,166,6.95,10,3
413,Kasaba Beed,14.4932755,76.2468473,51,11,184,7.99,38,3
414,Kasaba Karvir,14.5735245,76.4431639,54,7,159,8.62,23,3
415,Kavane,14.5719773,76.4477665,103,22,176,7.62,35,3
416,Kekatwadi,14.5718188,76.4512353,86,34,165,6.64,39,3
417,Kerali,14.5129816,76.3350428,109,13,185,7.03,17,3
418,Kerli,14.0270404,75.9671376,110,11,102,6.63,35,3
419,Khatangale,14.2745,76.0798,124,28,165,6.77,11,3
420,Khebavade,14.3317,75.8846,128,25,181,7.46,10,3
421,Khupire,14.4194,75.9964,75,7,103,6.78,11,3
422,Koge,14.2937,76.0218,118,17,199,6.36,30,3
423,Kogil Bk.,14.3982,75.8803,63,9,149,8.04,9,3
424,KOGIL KHURD,14.4805,76.0784,102,13,166,6.8,28,3
425,Koparde,14.4243,75.9724,74,10,184,7.65,10,3
426,Kothali,14.4822,75.9721,83,14,169,7.61,13,3
427,Kuditre,14.3356,75.9144,123,24,188,6.59,23,3
428,Kurdu,14.1,75.8541,69,8,104,7.74,8,3
429,Kurukali,14.3747,76.1284,65,10,166,8.02,21,3
430,Madale,14.2634,75.9652,75,10,194,8.23,21,3
431,Mahe,14.3932,76.0464,63,33,65,6.81,12,3
432,Mandare,14.3348,75.8657,71,10,54,7.61,15,3
433,Manjarwadi,14.1593,75.6855,115,14,32,6.65,14,3
434,Mhalasvade,14.4982,76.0653,63,9,211,7.85,32,3
435,Mhalunge,14.4933,76.0087,58,5,320,8.15,7,3
436,Mharul,14.3439,76.0892,62,9,75,7.96,37,3
437,Morewadi,14.4546,75.8156,98,10,68,7.01,29,3
438,MUDASHINGI,14.5937,76.0914,65,14,81,7.87,1,3
439,Nagadewadi,14.1566,75.7288,108,9,176,7.54,7,3
440,Nagaon,14.2778,75.9329,125,59,49,6.78,4,3
441,Nandgaon,14.4276,76.0987,63,10,58,7.91,7,3
442,Nandwal,14.4319,76.0697,97,9,49,6.17,4,3
443,Nerli,14.3352,76.0385,124,24,95,7.23,3,3
444,Nigave Dumala,14.4191,76.0385,68,8,102,8.17,28,3
445,Nigave Khalsa,14.0981,75.9536,102,10,60,7.69,27,3
446,Nitawade,14.3037,75.9275,94,8,60,7.7,12,3
447,Pachgaon,14.4149,76.111,125,9,65,5.63,15,3
448,Padali Bk.,14.4191,76.0385,97,9,50,8.1,20,3
449,Padali Kh.,14.3126,75.893,93,14,62,7.35,31,3
450,Padvalwadi,14.3352,76.0385,105,13,109,7.14,33,3
451,Parite,14.029,75.8156,94,10,125,7.13,10,3
452,Pasarde,14.4106,76.0878,98,9,195,5.68,35,3
453,Patekarwadi,14.1,75.8541,102,17,124,7.09,31,3
454,RAJAPUTWADI,14.4234,76.0755,97,21,127,7.37,28,3
455,Sabalewadi,14.2937,76.0218,96,11,118,7.41,23,3
456,Sadale,14.4772,75.8592,85,10,130,5.53,27,3
457,Sadoli Dumala,14.231,76.0653,86,8,131,5.92,5,3
458,Sadoli Khalsa,14.4472,76.0805,87,17,136,6.28,13,3
459,SANGAWADEWADI,14.4619,76.1016,68,8,119,5.57,28,3
460,Sangrul,14.3552,76.0646,79,15,117,7.89,39,3
461,Sangwade,14.4194,75.9964,53,9,118,8.09,28,3
462,Sarnobatwadi,14.4747,76.1186,100,21,123,7.1,9,3
463,Savarde Dumala,14.2672,76.029,70,9,126,5.31,1,3
464,Savarwadi,14.4933,76.0087,103,17,124,7.44,10,3
465,Shelakewadi,14.5402,75.9082,68,9,129,7.85,33,3
466,Shindewadi,14.781,75.987,60,10,118,7.79,26,3
467,Shinganapur,14.3493,76.0479,126,17,111,6.48,10,3
468,Shipekarwadi,14.4468,75.9449,107,13,128,7.66,1,3
469,Shiroli Dumala,14.4319,76.0697,54,7,125,8.02,35,3
470,Shiye,14.3116,76.0718,108,20,111,7.13,7,3
471,Sonali,14.353,76.1472,124,24,17,6.28,34,3
472,Tamgaon,14.353,76.1472,103,20,17,7.73,24,3
473,Tembalaiwadi,14.3239,75.992,80,8,19,5.37,38,3
474,Teraswadi,14.3348,75.8657,83,14,113,7.4,29,3
475,Uchgaon,14.2745,76.0798,85,15,110,7.41,34,3
476,Ujalaiwadi,14.1,75.8541,103,14,114,7.39,14,3
477,Upawade,14.3957,75.923,121,10,124,7.36,34,3
478,VADAKSHIVALE,14.2975,76.0609,111,25,18,6.39,20,3
479,VADANAGE,14.3552,76.0646,69,10,110,7.53,5,3
480,Vakare,14.4659,76.0015,103,20,110,6,33,3
481,VARANAGE,14.5121,75.9133,91,9,133,7.78,8,3
482,VASAGADE,14.4644,75.836,108,17,110,6.94,5,3
483,Vikaswadi,14.2353,76.0174,113,16,114,7.03,18,3
484,Waddwadi,14.4149,76.111,94,10,19,7.83,14,3
485,WADIPEER,14.3957,75.923,94,22,110,7.95,11,3
486,Waghobachiwadi,14.3747,76.1284,102,25,15,7.52,11,3
487,Walivade,14.5782,75.8607,84,7,19,5.25,10,3
488,Washi,14.1983,75.8861,94,13,110,7.4,23,3
489,Yevati,14.3386759,75.8954824,54,9,114,8.1,34,3
490,Alabad,14.5118544,75.911834,81,9,19,5.87,37,3
491,Anur,14.3136707,76.0063787,118,23,159,7.5,2,3
492,Arjuni,14.5272579,75.8687925,121,35,110,7.58,8,3
493,Arjunwada,14.3553599,76.0628503,103,15,19,7.42,28,3
494,Avachitwadi,14.436412,76.0278744,69,11,124,7.76,8,3
495,Bachani,14.503615,75.9756625,59,9,18,7.39,7,3
496,Baleghol,14.2517577,76.0501045,83,17,110,7.5,3,3
497,Balikre,14.3686654,76.1422868,125,27,18,7.04,38,3
498,Bamani,14.3975687,75.8778209,91,15,19,7.65,3,3
499,Banage,14.3553599,76.0628503,99,17,19,7.78,22,3
500,Bastavade,14.3036453,75.9019419,95,13,114,7.46,31,3
501,Belawale Bk.,14.2366783,75.9652015,59,10,113,8.02,16,3
502,Belawale Kh.,13.9838179,75.9065506,90,27,110,6.36,11,3
503,Belewadi Kalamma,14.1749352,76.0568046,71,14,19,7.52,14,3
504,Belewadi Masa,14.4634348,75.918789,71,10,117,7.67,25,3
505,Benikre,14.2948031,75.8700015,111,21,121,7.98,15,3
506,Bhadagaon,14.1975264,75.9168761,98,17,111,6.59,12,3
507,Bidri,14.2001919,75.8045242,59,8,110,4.68,31,3
508,Bolavi,14.3909383,75.9311579,64,13,18,8.01,30,3
509,Bolaviwadi,14.2251466,75.8557802,71,10,117,7.81,15,3
510,Boravade,14.0379407,75.9840846,74,9,18,8.01,14,3
511,Chaundal,14.250678,75.8714962,126,43,115,5.42,12,3
512,Chikhali,14.0058385,75.5285688,109,17,19,7.61,9,3
513,Chimagaon,13.6910462,75.8846808,96,16,17,6.56,30,3
514,Daulatwadi,14.2036121,75.986013,80,13,121,7.54,34,3
515,Ekondi,13.9671209,75.8957004,103,5,19,5.62,22,3
516,Galgale,13.9071565,75.8784031,119,7,117,5.78,33,3
517,Gorambe,14.1289597,75.6509221,95,6,19,4.78,22,3
518,Haladi,14.0902129,75.8644466,69,10,110,7.85,27,3
519,Haldavade,14.1350354,76.0033321,76,12,117,7.56,26,3
520,Hamidwada,14.2096411,75.9293353,61,9,113,8.18,9,3
521,Hasur Bk.,13.9045227,75.9039237,95,7,17,5.69,8,3
522,Hasur Kh.,13.8657352,75.9915601,95,10,120,6.08,18,3
523,Jainyal,13.8749399,75.938996,56,7,124,4.8,18,3
524,Kagal,14.2169268,75.74041,121,25,120,7.5,12,3
525,Kapashi,13.988401,75.7215168,79,6,18,5.7,4,3
526,Karanjivane,14.2524031,75.7408561,69,10,114,7.59,29,3
527,Kardyal,14.1304415,76.0983802,74,19,115,6.22,19,3
528,Karnoor,13.8209761,75.8425662,104,23,114,7.42,10,3
529,Kasaba Sangaon,13.9656724,75.8556854,104,19,110,7.5,29,3
530,Kasari,14.2072687,75.7375302,55,8,125,8.19,21,3
531,Kaulage,13.8647284,75.9675596,105,17,110,6.75,9,3
532,Kembali,14.0642222,75.9417272,69,7,120,5.51,28,3
533,Kenavade,13.9890913,75.911375,66,9,19,8.09,8,3
534,Khadakewada,14.2132058,75.8463287,74,7,117,6.68,18,3
535,Kurni,14.2925383,75.764025,99,8,116,7.81,10,3
536,Kurukali,14.5593906,75.9358213,87,14,110,7.74,0,3
537,Lingnoor Kapshi,14.4892224,75.7536371,83,21,122,7.72,35,3
538,Lingnur Dumala,14.5970054,76.0590847,99,21,125,6.75,7,3
539,Madyal,14.5248204,76.0137946,103,20,17,7.27,22,3
540,Malage Bk.,14.5194496,75.839222,113,17,113,6.73,23,3
541,Malage Kh.,14.4790728,75.9545052,65,13,19,7.64,20,3
542,Mangnoor,14.3537297,75.9436584,60,14,19,7.65,34,3
543,Mauje Sangaon,14.6046608,75.8903224,68,10,19,7.65,29,3
544,Metage,14.4580832,75.8736073,125,21,123,6.59,13,3
545,Mhakave,14.710429,75.7920813,61,9,135,7.5,25,3
546,Mugali,14.5376414,76.0198949,104,25,133,7.32,12,3
547,Muragud,14.5116611,75.6219489,54,9,115,8.35,24,3
548,Nandyal,14.7277858,75.9697075,89,13,111,7.72,1,3
549,Nidhori,14.5449656,76.4877587,89,14,19,7.45,4,3
550,Pharakatewadi,14.3994392,75.8055728,125,9,117,6.08,39,3
551,Pimpalgaon Bk.,14.450696,75.7240659,121,25,117,6.78,5,3
552,Pimpalgaon Kh.,14.6264435,75.8150169,109,33,111,7.96,29,3
553,Pirachiwadi,14.3687657,75.7728445,66,10,127,7.87,25,3
554,Randivewadi,14.4713545,75.5101276,74,9,115,8.21,8,3
555,Sake,14.4545309,75.7853768,90,9,19,8.26,36,3
556,Savarde Bk.,14.4652303,75.7076615,120,15,117,7.19,0,3
557,Savarde Kh.,14.430573,75.7277611,114,21,113,7.23,23,3
558,Shankarwadi,14.3826246,75.698778,64,15,110,7.83,7,3
559,Shendur,14.2488653,75.6122063,73,10,127,6.85,26,3
560,Shindewadi,14.4479221,75.7018894,104,21,114,7.55,36,3
561,Siddhanerli,14.5501159,75.7674051,84,14,110,7.41,15,3
562,Sonage,14.3880079,75.7342476,79,15,121,7.69,31,3
563,Sonali,14.2528129,75.6987264,95,21,117,7.5,20,3
564,Sulkud,14.4850512,75.7321662,69,13,18,7.68,20,3
565,Surupali,14.2148461,75.7170274,109,6,113,5.67,29,3
566,Tamanakwada,14.2125272,75.708155,96,25,113,7.17,35,3
567,Thanewadi,14.2973216,75.7964372,94,13,110,6.7,36,3
568,Undarwadi,14.5599968,76.1477369,66,9,19,8.15,4,3
569,VADGAON,14.4939156,76.1803588,65,13,133,7.79,7,3
570,Valave Kh.,14.5302155,76.1501937,76,9,19,8.03,33,3
571,Vandoor,14.5314407,76.1697438,115,9,143,6.38,35,3
572,Vhanali,14.6816462,76.3183469,64,9,117,8.04,11,3
573,Vhannur,14.5497006,76.3062188,82,24,116,7.39,20,3
574,Panhala,14.4566396,76.1378717,97,15,113,7.72,10,3
